#TYPE,META ID,PROPERTY NAME
COM-001,Key
COM-002,ENUM
COM-003,X
COM-004,Y
COM-005,Width
COM-006,HEIGHT
COM-010,Frame Enable
COM-011,Fill Enabled
TXT-200,Font
TXT-201,Text
TXT-202,Label
TXT-203,UTF8
TXT-204,Fill Enabled
TXT-205,External Storage Size
TXT-206,ElementRef
TXT-207,Text Alignment
TXT-208,Wrap Text
TXT-209,Text Rows
TXT-210,Text Columns
TXT-211,Font Enum
TXT-212,Text Margin
COL-300,Use Default Colors?
COL-301,Text Color
COL-302,Frame Color
COL-303,Fill Color
COL-304,Selected Color
COL-305,Check Mark Color
COL-306,Tick Color
COL_307,Trim Color
COL_308,Gauge Color
COL-309,Graph Color
COL-310,Background Color
COL-311,Grid Major Color
COL-312,Grid Minor Color
BOX-100,Draw Function
BOX-101,Tick Function
TBNT-100,Change Page Function
TBNT-101,Jump To Page ENUM
IBTN-100,Image
IBTN-101,Image When Selected
IBTN-102,Image #defines
IBTN-103,Select Image #defines
IBTN-104,Image Format
IBTN-105,Change Page Function
IBTN-106,Jump To Page ENUM
IBTN-107,Transparency
IBTN-108,Image Extern
IBTN-109,Select Image Extern
IBTN-110,Image Memory Type
IBTN-111,Select Image Memory Type
CBOX-100,Checked?
CBOX-101,Group ID
RBTN-100,Checked?
RBTN-101,Group ID
RBTN-305,Check Mark Color
SLD-100,Min
SLD-101,Max
SLD-102,Value
SLD-103,Thumb Sz
SLD-104,Vertical?
SLD-105,Tick Divisions
SLD-106,Tick Size
SLD-107,Trim Style
BAR-100,Vertical?
BAR-101,Ramp Style (not used)
BAR-102,Min
BAR-103,Max
BAR-104,Value
BAR-105,Style
BAR-106,Tick Divisions
BAR-107,Tick Size
BAR-108,Tick Color
BAR-109,Indicator Length
BAR-110,Indicator Tip Size
BAR-111,Indicator Fill?
IMG-100,Image
IMG-101,Image #defines
IMG-102,Image Format
IMG-107,Image Transparency
IMG-108,Image Extern
IMG-109,Image Memory Type
GRPH-100,Maximum Points
GRPH-101,Graph Style
GEN-100,Theme
GEN-101,Target Platform
GEN-102,TFT Screen Width
GEN-103,TFT Screen Height
GEN-104,TFT Screen DPI
GEN-105,Project Directory
GEN-106,Target’s Image Directory
GEN-107,Screen Margins
GEN-108,Horizontal Spacing
GEN-109,Vertical Spacing
GEN-110,MAX_STR
GEN-111,Recent Colors
GRID-100,Grid
GRID-101,Grid Snap To
GRID-102,Grid Minor Width
GRID-103,Grid Minor Height
GRID-104,Grid Major Width
GRID_105,Grid Major Height
