#DisplayName,IncludeFile,DefineFile,nFontId,eFontRefType,pvFontRef,nFontSz,LogicalFont,LogicalFontSize,LogicalFontStyle
BuiltIn(1x)->5x8pt7b,NULL,NULL,E_FONT_TXT1,GSLC_FONTREF_PTR,NULL,1,Monospaced,5,PLAIN
BuiltIn(2x)->10x16pt7b,NULL,NULL,E_FONT_TXT2,GSLC_FONTREF_PTR,NULL,2,Monospaced,10,PLAIN
BuiltIn(3x)->15x24pt7b,NULL,NULL,E_FONT_TXT3,GSLC_FONTREF_PTR,NULL,3,Monospaced,15,PLAIN
BuiltIn(4x)->20x32pt7b,NULL,NULL,E_FONT_TXT4,GSLC_FONTREF_PTR,NULL,4,Monospaced,20,PLAIN
BuiltIn(5x)->25x40pt7b,NULL,NULL,E_FONT_TXT5,GSLC_FONTREF_PTR,NULL,5,Monospaced,25,PLAIN
FreeSans9pt7b,Fonts/FreeSans9pt7b.h,NULL,E_FONT_SANS1,GSLC_FONTREF_PTR,&FreeSans9pt7b,1,FreeSans,9,PLAIN
FreeSans12pt7b,Fonts/FreeSans12pt7b.h,NULL,E_FONT_SANS2,GSLC_FONTREF_PTR,&FreeSans12pt7b,1,FreeSans,12,PLAIN
FreeSans18pt7b,Fonts/FreeSans18pt7b.h,NULL,E_FONT_SANS3,GSLC_FONTREF_PTR,&FreeSans18pt7b,1,SansSerif,18,PLAIN
FreeSans24pt7b,Fonts/FreeSans24pt7b.h,NULL,E_FONT_SANS4,GSLC_FONTREF_PTR,&FreeSans24pt7b,1,SansSerif,24,PLAIN
FreeSansBold9pt7b,Fonts/FreeSansBold9pt7b.h,NULL,E_FONT_SANSB1,GSLC_FONTREF_PTR,&FreeSansBold9pt7b,1,SansSerif,9,BOLD
FreeSansBold12pt7b,Fonts/FreeSansBold12pt7b.h,NULL,E_FONT_SANSB2,GSLC_FONTREF_PTR,&FreeSansBold12pt7b,1,SansSerif,12,BOLD
FreeSansBold18pt7b,Fonts/FreeSansBold18pt7b.h,NULL,E_FONT_SANSB3,GSLC_FONTREF_PTR,&FreeSansBold18pt7b,1,SansSerif,18,BOLD
FreeSansBold24pt7b,Fonts/FreeSansBold24pt7b.h,NULL,E_FONT_SANSB4,GSLC_FONTREF_PTR,&FreeSansBold24pt7b,1,SansSerif,24,BOLD
FreeSansOblique9pt7b,Fonts/FreeSansOblique9pt7b.h,NULL,E_FONT_SANSI1,GSLC_FONTREF_PTR,&FreeSansOblique9pt7b,1,SansSerif,9,ITALIC
FreeSansOblique12pt7b,Fonts/FreeSansOblique12pt7b.h,NULL,E_FONT_SANSI2,GSLC_FONTREF_PTR,&FreeSansOblique12pt7b,1,SansSerif,12,ITALIC
FreeSansOblique18pt7b,Fonts/FreeSansOblique18pt7b.h,NULL,E_FONT_SANSI3,GSLC_FONTREF_PTR,&FreeSansOblique18pt7b,1,SansSerif,18,ITALIC
FreeSansOblique24pt7b,Fonts/FreeSansOblique24pt7b.h,NULL,E_FONT_SANSI4,GSLC_FONTREF_PTR,&FreeSansOblique24pt7b,1,SansSerif,24,ITALIC
#FreeSansBoldOblique9pt7b,Fonts/FreeSansBoldOblique9pt7b.h,NULL,E_FONT_SANSBI1,GSLC_FONTREF_PTR,&FreeSansBoldOblique9pt7b,1,SansSerif,9,BOLD+ITALIC
#FreeSansBoldOblique12pt7b,Fonts/FreeSansBoldOblique12pt7b.h,NULL,E_FONT_SANSBI2,GSLC_FONTREF_PTR,&FreeSansBoldOblique12pt7b,1,SansSerif,12,BOLD+ITALIC
