# This is the full set of fonts supported by the Builder.
# You can add or remove fonts from this file to support any font that exists on your target platform.
#
# The file is in CSV Format with a column header line - See RFC 4180
# Using a '#' character to comment out lines is an unsupported extension to this RFC so if you want
# to import this file to another program like Excel you need to delete lines with '#' first.
#
# Here DisplayName refers to the actual font on the target platform - Arduino for example.
# Logical means the font we should use when Builder displays text since 
# we can't actually use the target platforms fonts inside the Builder. 
# However, since the Builder is written in Java you should be able to use 
# any TTF font as a logical font on your machine, but finding them is left up to you. 
# 
# Java ships with five platform independent fonts: Dialog, DialogInput, SansSerif, Serif, and Monospaced.
# I have choosen to use Dialog to represent Adafruit's built-in fonts which are 5x8 and plain only.
# Adafruit GFX only scales them up from 1 to N. As an example scale of 2 gives you a character 10x16.
# I have supported scales of 1 to 5.  You can edit this as you desire.
#
# One thing you should keep in mind is that non built-in fonts take up a fair amount of memory so you
# should limit your selection to one or two non built-in fonts if your target platform is an Arduino.  
#
# Use # to comment out any you don't want or simply delete them.
#
# WARNING! No error checking exists in the code so be very careful with any edits.
# I personally used a spreadsheet to create this file then did an export to CSV.
# I strongly suggest you do the same if you have any major edits to make.
#
# If the Builder crashes after editing this file you can delete or rename it and a
# new file will be created with the original content when you next start the Builder.
# 
#     Column Titles - see GUIslice.h gslc_FontAdd() for its API parameter names and what they mean.
#DisplayName,IncludeFile,DefineFile,nFontId,eFontRefType,pvFontRef,nFontSz,LogicalFont,LogicalFontSize,LogicalFontStyle
DroidSans8pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,8,DroidSans,8,PLAIN
DroidSans10pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS1,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,10,DroidSans,10,PLAIN
DroidSans12pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS2,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,12,DroidSans,12,PLAIN
DroidSans18pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS3,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,18,DroidSans,18,PLAIN
DroidSans24pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS4,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,24,DroidSans,24,PLAIN
DroidSans-Bold8pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB,GSLC_FONTREF_FNAME,FONT_DROID_SANS2,8,DroidSans-Bold,8,BOLD
DroidSans-Bold10pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB1,GSLC_FONTREF_FNAME,FONT_DROID_SANS2,10,DroidSans-Bold,10,BOLD
DroidSans-Bold12pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB2,GSLC_FONTREF_FNAME,FONT_DROID_SANS2,12,DroidSans-Bold,12,BOLD
DroidSans-Bold18pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB3,GSLC_FONTREF_FNAME,FONT_DROID_SANS2,18,DroidSans-Bold,18,BOLD
DroidSans-Bold24pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB4,GSLC_FONTREF_FNAME,FONT_DROID_SANS2,24,DroidSans-Bold,24,BOLD
DroidSerif-Bold8pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB,GSLC_FONTREF_FNAME,FONT_DROID_SERIF2,8,DroidSans-Bold,8,BOLD
DroidSerif-Bold10pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB1,GSLC_FONTREF_FNAME,FONT_DROID_SERIF2,10,DroidSans-Bold,10,BOLD
DroidSerif-Bold12pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB2,GSLC_FONTREF_FNAME,FONT_DROID_SERIF2,12,DroidSans-Bold,12,BOLD
DroidSerif-Bold18pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB3,GSLC_FONTREF_FNAME,FONT_DROID_SERIF2,18,DroidSans-Bold,18,BOLD
DroidSerif-Bold24pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB4,GSLC_FONTREF_FNAME,FONT_DROID_SERIF2,24,DroidSans-Bold,24,BOLD
DroidSerif-Italic8pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI,GSLC_FONTREF_FNAME,FONT_DROID_SERIF3,8,DroidSans-Bold,8,ITALIC
DroidSerif-Italic10pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI1,GSLC_FONTREF_FNAME,FONT_DROID_SERIF3,10,DroidSans-Bold,10,ITALIC
DroidSerif-Italic12pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI2,GSLC_FONTREF_FNAME,FONT_DROID_SERIF3,12,DroidSans-Bold,12,ITALIC
DroidSerif-Italic18pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI3,GSLC_FONTREF_FNAME,FONT_DROID_SERIF3,18,DroidSans-Bold,18,ITALIC
DroidSerif-Italic24pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI4,GSLC_FONTREF_FNAME,FONT_DROID_SERIF3,24,DroidSans-Bold,24,ITALIC
DroidSansMono8pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO,GSLC_FONTREF_FNAME,FONT_DROID_MONO1,8,DroidSansMono,8,PLAIN
DroidSansMono10pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO1,GSLC_FONTREF_FNAME,FONT_DROID_MONO1,10,DroidSansMono,10,PLAIN
DroidSansMono12pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO2,GSLC_FONTREF_FNAME,FONT_DROID_MONO1,12,DroidSansMono,12,PLAIN
DroidSansMono18pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO3,GSLC_FONTREF_FNAME,FONT_DROID_MONO1,18,DroidSansMono,18,PLAIN
DroidSansMono24pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO4,GSLC_FONTREF_FNAME,FONT_DROID_MONO1,24,DroidSansMono,24,PLAIN
