# This is the full set of fonts supported by the Builder.
# You can add or remove fonts from this file to support any font that exists on your target platform.
#
# The file is in CSV Format with a column header line - See RFC 4180
# Using a # character to comment out lines is an unsupported extension to this RFC so if you want
# to import this file to another program like Excel you need to delete lines 1 to 31 first.
#
# Here DisplayName refers to the actual font on the target platform - Arduino for example.
# Logical means the font we should use when Builder displays text since 
# we can't actually use the target platforms fonts inside the Builder. 
# However, since the Builder is written in Java you should be able to use 
# any TTF font as a logical font on your machine, but finding them is left up to you. 
# 
# Java ships with five platform independent fonts: Dialog, DialogInput, SansSerif, Serif, and Monospaced.
# I have choosen to use Dialog to represent Adafruit's built-in fonts which are 5x8 and plain only.
# Adafruit GFX only scales them up from 1 to N. As an example scale of 2 gives you a character 10x16.
# I have supported scales of 1 to 5.  You can edit this as you desire.
#
# One thing you should keep in mind is that non built-in fonts take up a fair amount of memory so you
# should limit your selection to one or two non built-in fonts if your target platform is an Arduino.  
#
# Use # to comment out any you don't want or simply delete them.
#
# WARNING! No error checking exists in the code so be very careful with any edits.
# I personally used a spreadsheet to create this file then did an export to CSV.
# I strongly suggest you do the same if you have any major edits to make.
#
# If the Builder crashes after editing this file you can delete or rename it and a
# new file will be created with the original content when you next start the Builder.
# 
#     Column Titles - see GUIslice.h gslc_FontAdd() for its API parameter names and what they mean.
#DisplayName,IncludeFile,DefineFile,nFontId,eFontRefType,pvFontRef,nFontSz,LogicalFont,LogicalFontSize,LogicalFontStyle
BuiltIn->5x8pt7b,NULL,NULL,E_FONT_TXT1,GSLC_FONTREF_PTR,NULL,1,FreeMono,5,PLAIN
BuiltIn->10x16pt7b,NULL,NULL,E_FONT_TXT2,GSLC_FONTREF_PTR,NULL,2,FreeMono,10,PLAIN
BuiltIn->15x24pt7b,NULL,NULL,E_FONT_TXT3,GSLC_FONTREF_PTR,NULL,3,FreeMono,15,PLAIN
BuiltIn->20x32pt7b,NULL,NULL,E_FONT_TXT4,GSLC_FONTREF_PTR,NULL,4,FreeMono,20,PLAIN
BuiltIn->25x40pt7b,NULL,NULL,E_FONT_TXT5,GSLC_FONTREF_PTR,NULL,5,FreeMono,25,PLAIN
FreeSans9pt7b,Fonts/FreeSans9pt7b.h,NULL,E_FONT_SANS1,GSLC_FONTREF_PTR,&FreeSans9pt7b,1,FreeSans,9,PLAIN
FreeSans12pt7b,Fonts/FreeSans12pt7b.h,NULL,E_FONT_SANS2,GSLC_FONTREF_PTR,&FreeSans12pt7b,1,FreeSans,12,PLAIN
FreeSans18pt7b,Fonts/FreeSans18pt7b.h,NULL,E_FONT_SANS3,GSLC_FONTREF_PTR,&FreeSans18pt7b,1,FreeSans,18,PLAIN
FreeSans24pt7b,Fonts/FreeSans24pt7b.h,NULL,E_FONT_SANS4,GSLC_FONTREF_PTR,&FreeSans24pt7b,1,FreeSans,24,PLAIN
FreeSansBold9pt7b,Fonts/FreeSansBold9pt7b.h,NULL,E_FONT_SANS1,GSLC_FONTREF_PTR,&FreeSansBold9pt7b,1,FreeSans,9,BOLD
FreeSansBold12pt7b,Fonts/FreeSansBold12pt7b.h,NULL,E_FONT_SANS2,GSLC_FONTREF_PTR,&FreeSansBold12pt7b,1,FreeSans,12,BOLD
FreeSansBold18pt7b,Fonts/FreeSansBold18pt7b.h,NULL,E_FONT_SANS3,GSLC_FONTREF_PTR,FreeSansBold18pt7b,1,FreeSans,18,BOLD
FreeSansBold24pt7b,Fonts/FreeSansBold24pt7b.h,NULL,E_FONT_SANS4,GSLC_FONTREF_PTR,FreeSansBold24pt7b,1,FreeSans,24,BOLD
FreeSansOblique9pt7b,Fonts/FreeSansOblique9pt7b.h,NULL,E_FONT_SANS1,GSLC_FONTREF_PTR,&FreeSansOblique9pt7b,1,FreeSans,9,ITALIC
FreeSansOblique12pt7b,Fonts/FreeSansOblique12pt7b.h,NULL,E_FONT_SANS2,GSLC_FONTREF_PTR,&FreeSansOblique12pt7b,1,FreeSans,12,ITALIC
FreeSansOblique18pt7b,Fonts/FreeSansOblique18pt7b.h,NULL,E_FONT_SANS3,GSLC_FONTREF_PTR,&FreeSansOblique18pt7b,1,FreeSans,18,ITALIC
FreeSansOblique24pt7b,Fonts/FreeSansOblique24pt7b.h,NULL,E_FONT_SANS4,GSLC_FONTREF_PTR,&FreeSansOblique24pt7b,1,FreeSans,24,ITALIC
#FreeSansBoldOblique9pt7b,Fonts/FreeSansBoldOblique9pt7b.h,NULL,E_FONT_SANS1,GSLC_FONTREF_PTR,&FreeSansBoldOblique9pt7b,1,FreeSans,9,BOLD+ITALIC
#FreeSansBoldOblique12pt7b,Fonts/FreeSansBoldOblique12pt7b.h,NULL,E_FONT_SANS2,GSLC_FONTREF_PTR,&FreeSansBoldOblique12pt7b,1,FreeSans,12,BOLD+ITALIC
#FreeSansBoldOblique18pt7b,Fonts/FreeSansBoldOblique18pt7b.h,NULL,E_FONT_SANS3,GSLC_FONTREF_PTR,&FreeSansBoldOblique18pt7b,1,FreeSans,18,BOLD+ITALIC
#FreeSansBoldOblique24pt7b,Fonts/FreeSansBoldOblique24pt7b.h,NULL,E_FONT_SANS4,GSLC_FONTREF_PTR,&FreeSansBoldOblique24pt7b,1,FreeSans,24,BOLD+ITALIC
FreeSerif9pt7b,Fonts/FreeSerif9pt7b.h,NULL,E_FONT_SERIF1,GSLC_FONTREF_PTR,&FreeSerif9pt7b,1,FreeSerif,9,PLAIN
FreeSerif12pt7b,Fonts/FreeSerif12pt7b.h,NULL,E_FONT_SERIF2,GSLC_FONTREF_PTR,&FreeSerif12pt7b,1,FreeSerif,12,PLAIN
FreeSerif18pt7b,Fonts/FreeSerif18pt7b.h,NULL,E_FONT_SERIF3,GSLC_FONTREF_PTR,&FreeSerif18pt7b,1,FreeSerif,18,PLAIN
FreeSerif24pt7b,Fonts/FreeSerif24pt7b.h,NULL,E_FONT_SERIF4,GSLC_FONTREF_PTR,&FreeSerif24pt7b,1,FreeSerif,24,PLAIN
FreeSerifBold9pt7b,Fonts/FreeSerifBold9pt7b.h,NULL,E_FONT_SERIF1,GSLC_FONTREF_PTR,&FreeSerifBold9pt7b,1,FreeSerif,9,BOLD
FreeSerifBold12pt7b,Fonts/FreeSerifBold12pt7b.h,NULL,E_FONT_SERIF2,GSLC_FONTREF_PTR,&FreeSerifBold12pt7b,1,FreeSerif,12,BOLD
